first_name,middle_name,last_name,alien_number,date_of_birth,country_of_birth,facility_name,facility_location,custody_status,last_updated
ABDULLAH,,ALHAMZAH,A977475806,2000-01-25,Costa Rica,Florida State Prison,"Starke, FL",Released on Bond,2025-08-28 23:32:49
ABDULMAJED,,ABDULMANE,A375098501,1997-07-30,Panama,Alligator Alcatraz Detention Center,"Everglades, FL",Awaiting Hearing,2025-08-28 23:32:49
ABEL,HERNANDEZ,PEREZ,A617924650,1988-05-25,Ecuador,Florida State Prison,"Starke, FL",In Detention,2025-08-28 23:32:49
ABEL,PADRON DE,LEON,A621584061,1975-01-22,Chile,Alligator Alcatraz Detention Center,"Everglades, FL",Awaiting Deportation,2025-08-28 23:32:49
ABELARDO,VILLEGAS,HERNANDEZ,A75228316,1978-03-17,Panama,Alligator Alcatraz Detention Center,"Everglades, FL",Awaiting Hearing,2025-08-28 23:32:49
ABELINO,PEREZ,LOPEZ,A852155392,1992-10-20,Ecuador,Broward Transitional Center,"Pembroke Pines, FL",Awaiting Deportation,2025-08-28 23:32:49
ABENAMAR,CASTELLANOS,RODRIGUEZ,A664192261,1997-02-24,Mexico,Florida State Prison,"Starke, FL",Awaiting Hearing,2025-08-28 23:32:49
ABNER,,MORALES-GOMEZ,A427553917,1997-10-26,Panama,Broward Transitional Center,"Pembroke Pines, FL",Awaiting Deportation,2025-08-28 23:32:49
ABRAHAM,,TORRES-ROBLERO,A475396687,1971-10-12,Panama,Broward Transitional Center,"Pembroke Pines, FL",Released on Bond,2025-08-28 23:32:49
ACACIO,,JUAREZ-GALEANA,A868765240,1994-04-29,Nicaragua,Broward Transitional Center,"Pembroke Pines, FL",Awaiting Deportation,2025-08-28 23:32:49
ADONIRAM,,LAZARO-PEREZ,A526210739,1971-03-19,Chile,Alligator Alcatraz Detention Center,"Everglades, FL",Processing,2025-08-28 23:32:49
ADONIS,,LOBOS-REYES,A532941676,1993-07-11,Argentina,Alligator Alcatraz Detention Center,"Everglades, FL",Awaiting Deportation,2025-08-28 23:32:49
ADRIAN,BETANCOURT,RODRIGUEZ,A119313033,1979-11-06,Panama,Orange County Jail,"Orlando, FL",In Detention,2025-08-28 23:32:49
ADRIAN,GUERRERO,RODRIGUEZ,A871183869,1980-06-01,Peru,Florida State Prison,"Starke, FL",Processing,2025-08-28 23:32:49
ADRIAN,RODRIGUEZ,UMPIERRE,A261572419,1967-08-15,Argentina,Alligator Alcatraz Detention Center,"Everglades, FL",Awaiting Deportation,2025-08-28 23:32:49
ADRIANGEL,GONZALEZ,HEREDIA,A956317065,2002-10-04,Chile,Orange County Jail,"Orlando, FL",Released on Bond,2025-08-28 23:32:49
AGUSTIN,JIMENEZ,PEREZ,A431146201,1996-03-03,El Salvador,Miami Processing Center,"Miami, FL",Released on Bond,2025-08-28 23:32:49
AGUSTIN,,VELASCO-LOPEZ,A944336986,1985-01-18,Bolivia,Palm Beach County Jail,"West Palm Beach, FL",Awaiting Hearing,2025-08-28 23:32:49
ALAN,,ORTIZ-PAVON,A146758286,1992-11-23,Bolivia,Broward Transitional Center,"Pembroke Pines, FL",Processing,2025-08-28 23:32:49
ALBERTO,,CHO-TZIB,A540016058,1986-12-17,Ecuador,Palm Beach County Jail,"West Palm Beach, FL",Processing,2025-08-28 23:32:49
ALBERTO,,PEDRO-BALTAZAR,A856861825,1968-01-07,Honduras,Orange County Jail,"Orlando, FL",Processing,2025-08-28 23:32:49
ALDAIR,CITALAN,SAQUIC,A568129008,2003-12-12,Costa Rica,Florida State Prison,"Starke, FL",Awaiting Deportation,2025-08-28 23:32:49
ALDO,IVAN LARA,DIAZ,A547954328,1993-09-03,El Salvador,Alligator Alcatraz Detention Center,"Everglades, FL",In Detention,2025-08-28 23:32:49
ALEJANDRO,,CHOC-CHUB,A793327176,2002-03-06,Colombia,Alligator Alcatraz Detention Center,"Everglades, FL",In Detention,2025-08-28 23:32:49
ALEXANDER,HERNANDEZ,BONI,A106483021,1965-05-25,Argentina,Miami Processing Center,"Miami, FL",In Detention,2025-08-28 23:32:49
ALEXANDER,NAVARRO,CARRAZANA,A25980281,2000-10-05,Nicaragua,Palm Beach County Jail,"West Palm Beach, FL",Processing,2025-08-28 23:32:49
ALEXANDER,PASCUAL,PASCUAL,A375396539,1991-12-17,El Salvador,Palm Beach County Jail,"West Palm Beach, FL",Awaiting Hearing,2025-08-28 23:32:49
ALEXANDER,,STRAKER,A37571522,1973-05-07,Venezuela,Florida State Prison,"Starke, FL",Processing,2025-08-28 23:32:49
ALEXI,MENDOZA,BALDIVIA,A783610958,1964-08-31,Costa Rica,Miami Processing Center,"Miami, FL",Awaiting Deportation,2025-08-28 23:32:49
ALEXIS,CHAVEZ,ALMONTE,A310940773,1987-09-16,Colombia,Alligator Alcatraz Detention Center,"Everglades, FL",Released on Bond,2025-08-28 23:32:49
ALFREDO,AGUILAR,ESCOBAR,A17499925,1970-06-25,Honduras,Alligator Alcatraz Detention Center,"Everglades, FL",Released on Bond,2025-08-28 23:32:49
ALFREDO,,GAMEZ,A314263786,1982-04-26,Argentina,Florida State Prison,"Starke, FL",Released on Bond,2025-08-28 23:32:49
ALFREDO,GUZMAN,BARTOLO,A191467810,1968-11-22,Brazil,Orange County Jail,"Orlando, FL",Released on Bond,2025-08-28 23:32:49
ALFREDO,,LEIJA-CHAVEZ,A278630979,2005-03-28,Panama,Florida State Prison,"Starke, FL",In Detention,2025-08-28 23:32:49
ALLAN,GONZALEZ,VERGARA,A163831415,1977-09-25,Argentina,Palm Beach County Jail,"West Palm Beach, FL",Released on Bond,2025-08-28 23:32:49
ALVARO,AGUILAR,JIMENEZ,A411925801,1967-08-29,Brazil,Miami Processing Center,"Miami, FL",Awaiting Hearing,2025-08-28 23:32:49
ALVARO,,CALDERON-RAMIREZ,A310168092,1989-04-14,Mexico,Palm Beach County Jail,"West Palm Beach, FL",In Detention,2025-08-28 23:32:49
AMILCAR,,CASTILLO-VASQUEZ,A497776024,1990-03-20,El Salvador,Florida State Prison,"Starke, FL",Processing,2025-08-28 23:32:49
AMILCAR,,MATEO-LOPEZ,A658893656,1998-08-01,Costa Rica,Alligator Alcatraz Detention Center,"Everglades, FL",Released on Bond,2025-08-28 23:32:49
AMIR,,NOUR,A844773134,1991-12-11,Mexico,Florida State Prison,"Starke, FL",Released on Bond,2025-08-28 23:32:49
AND,CASTILLO,HUETE,A799331950,1988-10-17,Panama,Florida State Prison,"Starke, FL",Released on Bond,2025-08-28 23:32:49
ANDEL,SAAVEDRA,PEREZ,A92074388,2000-08-02,Panama,Alligator Alcatraz Detention Center,"Everglades, FL",Awaiting Hearing,2025-08-28 23:32:49
ANDERSON,,MIRANDA-MIRANDA,A233857841,2004-02-17,Panama,Orange County Jail,"Orlando, FL",Awaiting Deportation,2025-08-28 23:32:49
ANDOR,HERNANDEZ,MORALES,A507831804,1995-04-29,Panama,Palm Beach County Jail,"West Palm Beach, FL",Processing,2025-08-28 23:32:49
ANDRES,CHUN,RAMIREZ,A710984517,1966-06-15,Argentina,Palm Beach County Jail,"West Palm Beach, FL",Released on Bond,2025-08-28 23:32:49
ANDRES,MENDOZA,ACEVEDO,A228873266,1982-10-25,Colombia,Broward Transitional Center,"Pembroke Pines, FL",Awaiting Hearing,2025-08-28 23:32:49
ANDRES,,MUNOZ-HERNANDEZ,A121625158,2003-06-09,El Salvador,Miami Processing Center,"Miami, FL",Released on Bond,2025-08-28 23:32:49
ANDRES,VILLEGAS,GOMEZ,A993753457,1981-08-11,Nicaragua,Florida State Prison,"Starke, FL",Processing,2025-08-28 23:32:49
ANDREW,,CHEEKAN,A24408178,1979-04-22,Peru,Orange County Jail,"Orlando, FL",Awaiting Hearing,2025-08-28 23:32:49
ANDREY,ROQUE,CRUZ,A390865981,1974-09-01,Honduras,Palm Beach County Jail,"West Palm Beach, FL",Processing,2025-08-28 23:32:49
ANDY,FERNANDEZ,NOY,A610780812,1993-08-29,Brazil,Alligator Alcatraz Detention Center,"Everglades, FL",Released on Bond,2025-08-28 23:32:49
ANGEL,AGUSTIN MARTINEZ,ARMAS,A49517328,2005-03-05,Argentina,Palm Beach County Jail,"West Palm Beach, FL",Released on Bond,2025-08-28 23:32:49
ANGEL,,CRUZ-VALLADARES,A425910690,1981-08-31,Brazil,Orange County Jail,"Orlando, FL",Awaiting Hearing,2025-08-28 23:32:49
ANGEL,FELIPE,PEREZ,A532995269,1995-01-08,Brazil,Orange County Jail,"Orlando, FL",In Detention,2025-08-28 23:32:49
ANGEL,,MELENDRES-PAJON,A29202754,1990-06-01,Argentina,Florida State Prison,"Starke, FL",Awaiting Deportation,2025-08-28 23:32:49
ANIBAL,ROMERO,RIVERA,A379235352,1987-08-10,Costa Rica,Alligator Alcatraz Detention Center,"Everglades, FL",In Detention,2025-08-28 23:32:49
ANTHONY,,CASTILLO-GOMEZ,A60097638,1992-05-30,Chile,Alligator Alcatraz Detention Center,"Everglades, FL",Awaiting Hearing,2025-08-28 23:32:49
ANTONIO,,ALCANTARA,A130146618,2001-09-13,Argentina,Orange County Jail,"Orlando, FL",Processing,2025-08-28 23:32:49
ANTONIO,GERMAN,FUENTES,A620170623,1988-04-17,Peru,Florida State Prison,"Starke, FL",Awaiting Hearing,2025-08-28 23:32:49
ANTONIO,LOPETEGUI,PADRON,A61665467,2006-06-29,Ecuador,Orange County Jail,"Orlando, FL",Released on Bond,2025-08-28 23:32:49
ANTONIO,,RUBIO-SANCHEZ,A148831793,1993-06-30,Guatemala,Florida State Prison,"Starke, FL",In Detention,2025-08-28 23:32:49
ANTONIO,,SUAREZ,A173446183,1988-01-08,Colombia,Orange County Jail,"Orlando, FL",Processing,2025-08-28 23:32:49
ANTUAN,,MARCOS-TOLEDO,A233303618,2002-04-08,Nicaragua,Florida State Prison,"Starke, FL",Released on Bond,2025-08-28 23:32:49
ARAEL,,RAMIREZ,A54008006,1973-12-02,Nicaragua,Florida State Prison,"Starke, FL",Awaiting Deportation,2025-08-28 23:32:49
ARIAM,RODRIGUEZ,LEON,A183707743,1964-09-13,Venezuela,Orange County Jail,"Orlando, FL",Processing,2025-08-28 23:32:49
ARIEL,RODRIGUEZ,MARTINEZ,A319370031,1995-12-03,Nicaragua,Miami Processing Center,"Miami, FL",In Detention,2025-08-28 23:32:49
ARLIS,,PEREZ-VASQUEZ,A933580999,1980-09-24,Panama,Palm Beach County Jail,"West Palm Beach, FL",Released on Bond,2025-08-28 23:32:49
ARNALDO,,LUNA,A252256624,1995-01-30,Venezuela,Florida State Prison,"Starke, FL",Processing,2025-08-28 23:32:49
ARNOL,,MENBRENO,A416806312,1995-05-16,Panama,Alligator Alcatraz Detention Center,"Everglades, FL",In Detention,2025-08-28 23:32:49
ARNOLDO,ESCORCIA,CENTENO,A196053420,1987-10-10,Ecuador,Palm Beach County Jail,"West Palm Beach, FL",Processing,2025-08-28 23:32:49
ARNOLDO,,NOLASCO-GABRIEL,A628360849,1977-01-21,Argentina,Miami Processing Center,"Miami, FL",In Detention,2025-08-28 23:32:49
AROLDO,,VELASQUEZ-LOPEZ,A607313185,1994-07-20,Chile,Alligator Alcatraz Detention Center,"Everglades, FL",Awaiting Hearing,2025-08-28 23:32:49
ARTURO,,MARTINEZ-MAXIMO,A688935149,1973-09-04,Costa Rica,Palm Beach County Jail,"West Palm Beach, FL",Processing,2025-08-28 23:32:49
ARTURO,MORALES,PEREZ,A472062394,1975-05-20,Panama,Broward Transitional Center,"Pembroke Pines, FL",In Detention,2025-08-28 23:32:49
AXEL,JIMENEZ,PEREZ,A959562653,1976-11-14,El Salvador,Broward Transitional Center,"Pembroke Pines, FL",Awaiting Hearing,2025-08-28 23:32:49
BENITO,HUITZILAC,BOLANOS,A190225089,1971-01-02,Guatemala,Orange County Jail,"Orlando, FL",Processing,2025-08-28 23:32:49
BERNANDINO,,RAMIREZ-BAUTISTA,A166331469,1963-04-19,Argentina,Alligator Alcatraz Detention Center,"Everglades, FL",In Detention,2025-08-28 23:32:49
BLAS,,RIVERA-VARELA,A81840274,1987-11-28,Bolivia,Broward Transitional Center,"Pembroke Pines, FL",Released on Bond,2025-08-28 23:32:49
BOANERGES,GARCIA,CALDERON,A294504135,1976-08-26,Mexico,Alligator Alcatraz Detention Center,"Everglades, FL",Processing,2025-08-28 23:32:49
BORYS,AQUINO,HERRERA,A836814457,1998-01-04,Bolivia,Miami Processing Center,"Miami, FL",Processing,2025-08-28 23:32:49
BOTELLO,,MEDINA-YANES,A685174807,1977-09-10,Bolivia,Florida State Prison,"Starke, FL",Awaiting Hearing,2025-08-28 23:32:49
BRAYAN,CINTO,GERONIMO,A698574290,1973-07-11,Peru,Alligator Alcatraz Detention Center,"Everglades, FL",In Detention,2025-08-28 23:32:49
BRAYDON,,CASH-BROWN,A942825489,1969-09-18,Costa Rica,Broward Transitional Center,"Pembroke Pines, FL",In Detention,2025-08-28 23:32:49
BRE,,MIRANDA-AGUILAR,A44854251,1978-08-24,Chile,Miami Processing Center,"Miami, FL",Awaiting Hearing,2025-08-28 23:32:49
BROLIN,,BARRIOS-ROMERO,A259773327,1961-11-06,Peru,Orange County Jail,"Orlando, FL",Awaiting Deportation,2025-08-28 23:32:49
BYRON,RUANO,RODRIGUEZ,A977266191,1972-04-08,Venezuela,Broward Transitional Center,"Pembroke Pines, FL",Processing,2025-08-28 23:32:49
CARLITO,,GONCALVES,A573117477,1988-03-04,El Salvador,Broward Transitional Center,"Pembroke Pines, FL",Processing,2025-08-28 23:32:49
